ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNMA,FA_RDNDA,FA_RDNZC,FA_TELNO,LOAD_DTM
B10,서울특별시교육청,강남구,교습소,3000052955,강남코리코딩교습소,20250725,20250725,개원,        ,        ,0,5,기타(대),,,, ,Y, ,서울특별시 강남구 광평로10길 50,"1층 24호, 24-1호, 24-1A호(일원동,청솔빌리지)",06363,02-6402-0201,20250803
B10,서울특별시교육청,강남구,교습소,3000051169,에이블디코딩컴퓨터교습소,20240925,20240925,개원,        ,        ,0,3,기타(대),,,, ,Y, ,서울특별시 강남구 삼성로67길 22,", 4층 402호(대치동)",06202,010-8580-4370,20241006
B10,서울특별시교육청,강남구,교습소,3000054544,프레임온컴퓨터교습소,20260410,20260410,개원,        ,        ,0,0,기타(대),,,, ,Y, ,서울특별시 강남구 역삼로78길 3,", 4층(대치동)",06202,010-7997-4860,20260426
B10,서울특별시교육청,강남구,교습소,3000051500,해피스마일에이아이(AI)코딩컴퓨터교습소,20241128,20241128,개원,        ,        ,0,5,기타(대),,,, ,Y, ,서울특별시 강남구 삼성로67길 8-6,101호(대치동),06202,,20241215
B10,서울특별시교육청,강남구,학원,3000032323,게임캔버스학원,20180730,20180730,개원,        ,99991231,235,72,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 강남대로96길 17,", 3층 (역삼동)",06129,02-588-5993,20251005
B10,서울특별시교육청,강남구,학원,3000031235,더인에듀학원,20180306,20180306,개원,        ,99991231,8185,89,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 봉은사로 121,", 5층 (논현동, 대종빌딩)",06120,02-3474-8415,20231018
B10,서울특별시교육청,강남구,학원,3000030268,디랩코딩학원,20171109,20171109,개원,        ,99991231,1008,129,기타(대),기타(중),소프트웨어,소프트웨어, ,Y,N,서울특별시 강남구 영동대로 229,", 6층 (대치동)",06283,02-2088-1901,20260201
B10,서울특별시교육청,강남구,학원,3000042900,라움게임그래픽학원,20221220,20221220,개원,        ,99991231,200,46,직업기술,컴퓨터,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)", ,Y,N,서울특별시 강남구 테헤란로25길 34,", 1층 전체 (역삼동)",06131,02-555-7091,20240526
B10,서울특별시교육청,강남구,학원,3000027078,러닝스푼즈학원,20160920,20160920,개원,        ,99991231,960,144,종합(대),,"금융,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",, ,Y,N,서울특별시 강남구 강남대로94길 15,", 3층,4층 (역삼동)",06129,02-3445-5170,20250518
B10,서울특별시교육청,강남구,학원,3000029611,런스팀로봇코딩학원,20170808,20170808,개원,        ,99991231,61,84,기타(대),기타(중),"로봇,",로봇, ,Y,N,서울특별시 강남구 삼성로 155,", 301호 (대치동)",06291,02-566-2013,20231018
B10,서울특별시교육청,강남구,학원,3000050904,로그엔코딩스팀학원,20240805,20240805,개원,        ,        ,525,105,기타(대),,,, ,Y,N,서울특별시 강남구 언주로174길 11,", 5층 501호(신사동)",06017,02-0000-0000,20260208
B10,서울특별시교육청,강남구,학원,3000043235,로그엔코딩학원,20230206,20230206,개원,        ,99991231,490,67,정보,정보,정보교과,정보교과, ,Y,N,서울특별시 강남구 언주로174길 17,", 3층 일부 북동측호 (신사동)",06017,02-540-1628,20241215
B10,서울특별시교육청,강남구,학원,3000037103,로봇앤코딩아카데미학원,20200701,20200701,개원,        ,99991231,256,64,기타(대),기타(중),로봇,로봇, ,Y,N,서울특별시 강남구 역삼로64길 20,", 2층(대치동)",06199,010-9444-7898,20250330
